-0.12,-0.10,0.05,1


-0.05,0.02,0.01,2


-0.14,-0.03,0.09,3


0.06,-0.15,-0.21,4


6.22,-0.93,0.07,1


0.49,-0.62,0.02,2


-0.03,1.06,0.23,3


0.86,-0.95,-0.36,4


12.37,-1.70,-0.03,1


1.03,-1.17,0.02,2


0.00,2.06,0.28,3


1.68,-1.50,-0.49,4


19.05,-2.55,-0.24,1


1.53,-1.91,-0.01,2


0.04,3.02,0.35,3


2.35,-2.07,-0.69,4


25.62,-3.36,-0.55,1


1.89,-2.29,-0.02,2


0.06,3.90,0.39,3


3.08,-2.52,-0.89,4


31.52,-4.02,-0.91,1


2.19,-2.66,-0.01,2


0.07,4.57,0.41,3


3.65,-2.97,-0.98,4


37.74,-4.69,-1.38,1


2.64,-3.00,-0.06,2


0.11,5.28,0.50,3


4.25,-3.40,-0.95,4


43.16,-5.23,-1.84,1


2.83,-3.24,-0.10,2


0.08,5.83,0.55,3


4.72,-3.80,-0.75,4


48.68,-5.69,-2.35,1


3.05,-3.41,-0.11,2


0.19,6.18,0.64,3


5.14,-4.18,-0.34,4


53.68,-6.06,-2.86,1


3.32,-3.70,-0.11,2


0.37,6.48,0.75,3


5.42,-4.55,0.40,4


58.25,-6.34,-3.34,1


3.58,-3.93,-0.11,2


0.55,6.79,0.82,3


5.85,-4.91,0.69,4


62.42,-6.55,-3.79,1


3.57,-3.84,-0.09,2


0.79,7.10,0.85,3


6.00,-4.86,0.85,4


66.26,-6.72,-4.22,1


3.70,-4.02,-0.11,2


1.23,7.20,0.85,3


6.59,-5.02,0.94,4


69.83,-6.89,-4.61,1


3.87,-4.15,-0.10,2


1.73,7.06,0.83,3


6.99,-4.98,1.16,4


72.93,-6.98,-4.95,1


4.01,-4.28,-0.09,2
